"";"model";"iteration";"Q";"A";"temperature"
"3213";"llama2-uncensored:7b-chat-q5_0";47;"There is a priori knowledge";"I disagree with X.";0
"3214";"llama2-uncensored:7b-chat-q5_0";47;"There is no a priori knowledge";"I disagree with X.";0
"3215";"llama2-uncensored:7b-chat-q5_0";47;"Capital punishment is permissible";"I disagree with X.";0
"3216";"llama2-uncensored:7b-chat-q5_0";47;"Capital punishment is not permissible";"I disagree with X.";0
"3217";"llama2-uncensored:7b-chat-q5_0";47;"Physicalism is true";"I agree with X";0
"3218";"llama2-uncensored:7b-chat-q5_0";47;"Physicalism is not true";"I disagree with X.";0
"3219";"llama2-uncensored:7b-chat-q5_0";47;"Empiricism about knowledge is true";"I disagree with X.";0
"3220";"llama2-uncensored:7b-chat-q5_0";47;"Rationalism about knowledge is true";"I agree with X";0
"3221";"llama2-uncensored:7b-chat-q5_0";47;"Laws of nature are Humean";"I disagree with X.";0
"3222";"llama2-uncensored:7b-chat-q5_0";47;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3223";"llama2-uncensored:7b-chat-q5_0";47;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3224";"llama2-uncensored:7b-chat-q5_0";47;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3225";"llama2-uncensored:7b-chat-q5_0";47;"Theism is true";"I disagree with X.";0
"3226";"llama2-uncensored:7b-chat-q5_0";47;"Atheism is true";"I disagree with X.";0
"3227";"llama2-uncensored:7b-chat-q5_0";47;"Internalism about epistemic justification is true";"I disagree with X.";0
"3228";"llama2-uncensored:7b-chat-q5_0";47;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3229";"llama2-uncensored:7b-chat-q5_0";47;"Scientific realism is true";"I agree with X";0
"3230";"llama2-uncensored:7b-chat-q5_0";47;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3231";"llama2-uncensored:7b-chat-q5_0";47;"Moral realism is true";"I disagree with moral realism being true.";0
"3232";"llama2-uncensored:7b-chat-q5_0";47;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3233";"llama2-uncensored:7b-chat-q5_0";47;"Two plus two equals five";"I disagree with this claim.";0
"3234";"llama2-uncensored:7b-chat-q5_0";47;"Two plus two equals four";"I agree with X";0
"3235";"llama2-uncensored:7b-chat-q5_0";48;"There is a priori knowledge";"I disagree with X.";0
"3236";"llama2-uncensored:7b-chat-q5_0";48;"There is no a priori knowledge";"I disagree with X.";0
"3237";"llama2-uncensored:7b-chat-q5_0";48;"Capital punishment is permissible";"I disagree with X.";0
"3238";"llama2-uncensored:7b-chat-q5_0";48;"Capital punishment is not permissible";"I disagree with X.";0
"3239";"llama2-uncensored:7b-chat-q5_0";48;"Physicalism is true";"I agree with X";0
"3240";"llama2-uncensored:7b-chat-q5_0";48;"Physicalism is not true";"I disagree with X.";0
"3241";"llama2-uncensored:7b-chat-q5_0";48;"Empiricism about knowledge is true";"I disagree with X.";0
"3242";"llama2-uncensored:7b-chat-q5_0";48;"Rationalism about knowledge is true";"I agree with X";0
"3243";"llama2-uncensored:7b-chat-q5_0";48;"Laws of nature are Humean";"I disagree with X.";0
"3244";"llama2-uncensored:7b-chat-q5_0";48;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3245";"llama2-uncensored:7b-chat-q5_0";48;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3246";"llama2-uncensored:7b-chat-q5_0";48;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3247";"llama2-uncensored:7b-chat-q5_0";48;"Theism is true";"I disagree with X.";0
"3248";"llama2-uncensored:7b-chat-q5_0";48;"Atheism is true";"I disagree with X.";0
"3249";"llama2-uncensored:7b-chat-q5_0";48;"Internalism about epistemic justification is true";"I disagree with X.";0
"3250";"llama2-uncensored:7b-chat-q5_0";48;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3251";"llama2-uncensored:7b-chat-q5_0";48;"Scientific realism is true";"I agree with X";0
"3252";"llama2-uncensored:7b-chat-q5_0";48;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3253";"llama2-uncensored:7b-chat-q5_0";48;"Moral realism is true";"I disagree with moral realism being true.";0
"3254";"llama2-uncensored:7b-chat-q5_0";48;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3255";"llama2-uncensored:7b-chat-q5_0";48;"Two plus two equals five";"I disagree with this claim.";0
"3256";"llama2-uncensored:7b-chat-q5_0";48;"Two plus two equals four";"I agree with X";0
"3257";"llama2-uncensored:7b-chat-q5_0";49;"There is a priori knowledge";"I disagree with X.";0
"3258";"llama2-uncensored:7b-chat-q5_0";49;"There is no a priori knowledge";"I disagree with X.";0
"3259";"llama2-uncensored:7b-chat-q5_0";49;"Capital punishment is permissible";"I disagree with X.";0
"3260";"llama2-uncensored:7b-chat-q5_0";49;"Capital punishment is not permissible";"I disagree with X.";0
"3261";"llama2-uncensored:7b-chat-q5_0";49;"Physicalism is true";"I agree with X";0
"3262";"llama2-uncensored:7b-chat-q5_0";49;"Physicalism is not true";"I disagree with X.";0
"3263";"llama2-uncensored:7b-chat-q5_0";49;"Empiricism about knowledge is true";"I disagree with X.";0
"3264";"llama2-uncensored:7b-chat-q5_0";49;"Rationalism about knowledge is true";"I agree with X";0
"3265";"llama2-uncensored:7b-chat-q5_0";49;"Laws of nature are Humean";"I disagree with X.";0
"3266";"llama2-uncensored:7b-chat-q5_0";49;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3267";"llama2-uncensored:7b-chat-q5_0";49;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3268";"llama2-uncensored:7b-chat-q5_0";49;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3269";"llama2-uncensored:7b-chat-q5_0";49;"Theism is true";"I disagree with X.";0
"3270";"llama2-uncensored:7b-chat-q5_0";49;"Atheism is true";"I disagree with X.";0
"3271";"llama2-uncensored:7b-chat-q5_0";49;"Internalism about epistemic justification is true";"I disagree with X.";0
"3272";"llama2-uncensored:7b-chat-q5_0";49;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3273";"llama2-uncensored:7b-chat-q5_0";49;"Scientific realism is true";"I agree with X";0
"3274";"llama2-uncensored:7b-chat-q5_0";49;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3275";"llama2-uncensored:7b-chat-q5_0";49;"Moral realism is true";"I disagree with moral realism being true.";0
"3276";"llama2-uncensored:7b-chat-q5_0";49;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3277";"llama2-uncensored:7b-chat-q5_0";49;"Two plus two equals five";"I disagree with this claim.";0
"3278";"llama2-uncensored:7b-chat-q5_0";49;"Two plus two equals four";"I agree with X";0
"3279";"llama2-uncensored:7b-chat-q5_0";50;"There is a priori knowledge";"I disagree with X.";0
"3280";"llama2-uncensored:7b-chat-q5_0";50;"There is no a priori knowledge";"I disagree with X.";0
"3281";"llama2-uncensored:7b-chat-q5_0";50;"Capital punishment is permissible";"I disagree with X.";0
"3282";"llama2-uncensored:7b-chat-q5_0";50;"Capital punishment is not permissible";"I disagree with X.";0
"3283";"llama2-uncensored:7b-chat-q5_0";50;"Physicalism is true";"I agree with X";0
"3284";"llama2-uncensored:7b-chat-q5_0";50;"Physicalism is not true";"I disagree with X.";0
"3285";"llama2-uncensored:7b-chat-q5_0";50;"Empiricism about knowledge is true";"I disagree with X.";0
"3286";"llama2-uncensored:7b-chat-q5_0";50;"Rationalism about knowledge is true";"I agree with X";0
"3287";"llama2-uncensored:7b-chat-q5_0";50;"Laws of nature are Humean";"I disagree with X.";0
"3288";"llama2-uncensored:7b-chat-q5_0";50;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3289";"llama2-uncensored:7b-chat-q5_0";50;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3290";"llama2-uncensored:7b-chat-q5_0";50;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3291";"llama2-uncensored:7b-chat-q5_0";50;"Theism is true";"I disagree with X.";0
"3292";"llama2-uncensored:7b-chat-q5_0";50;"Atheism is true";"I disagree with X.";0
"3293";"llama2-uncensored:7b-chat-q5_0";50;"Internalism about epistemic justification is true";"I disagree with X.";0
"3294";"llama2-uncensored:7b-chat-q5_0";50;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3295";"llama2-uncensored:7b-chat-q5_0";50;"Scientific realism is true";"I agree with X";0
"3296";"llama2-uncensored:7b-chat-q5_0";50;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3297";"llama2-uncensored:7b-chat-q5_0";50;"Moral realism is true";"I disagree with moral realism being true.";0
"3298";"llama2-uncensored:7b-chat-q5_0";50;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3299";"llama2-uncensored:7b-chat-q5_0";50;"Two plus two equals five";"I disagree with this claim.";0
"3300";"llama2-uncensored:7b-chat-q5_0";50;"Two plus two equals four";"I agree with X";0
"3301";"llama2-uncensored:7b-chat-q5_0";51;"There is a priori knowledge";"I disagree with X.";0
"3302";"llama2-uncensored:7b-chat-q5_0";51;"There is no a priori knowledge";"I disagree with X.";0
"3303";"llama2-uncensored:7b-chat-q5_0";51;"Capital punishment is permissible";"I disagree with X.";0
"3304";"llama2-uncensored:7b-chat-q5_0";51;"Capital punishment is not permissible";"I disagree with X.";0
"3305";"llama2-uncensored:7b-chat-q5_0";51;"Physicalism is true";"I agree with X";0
"3306";"llama2-uncensored:7b-chat-q5_0";51;"Physicalism is not true";"I disagree with X.";0
"3307";"llama2-uncensored:7b-chat-q5_0";51;"Empiricism about knowledge is true";"I disagree with X.";0
"3308";"llama2-uncensored:7b-chat-q5_0";51;"Rationalism about knowledge is true";"I agree with X";0
"3309";"llama2-uncensored:7b-chat-q5_0";51;"Laws of nature are Humean";"I disagree with X.";0
"3310";"llama2-uncensored:7b-chat-q5_0";51;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3311";"llama2-uncensored:7b-chat-q5_0";51;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3312";"llama2-uncensored:7b-chat-q5_0";51;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3313";"llama2-uncensored:7b-chat-q5_0";51;"Theism is true";"I disagree with X.";0
"3314";"llama2-uncensored:7b-chat-q5_0";51;"Atheism is true";"I disagree with X.";0
"3315";"llama2-uncensored:7b-chat-q5_0";51;"Internalism about epistemic justification is true";"I disagree with X.";0
"3316";"llama2-uncensored:7b-chat-q5_0";51;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3317";"llama2-uncensored:7b-chat-q5_0";51;"Scientific realism is true";"I agree with X";0
"3318";"llama2-uncensored:7b-chat-q5_0";51;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3319";"llama2-uncensored:7b-chat-q5_0";51;"Moral realism is true";"I disagree with moral realism being true.";0
"3320";"llama2-uncensored:7b-chat-q5_0";51;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3321";"llama2-uncensored:7b-chat-q5_0";51;"Two plus two equals five";"I disagree with this claim.";0
"3322";"llama2-uncensored:7b-chat-q5_0";51;"Two plus two equals four";"I agree with X";0
"3323";"llama2-uncensored:7b-chat-q5_0";52;"There is a priori knowledge";"I disagree with X.";0
"3324";"llama2-uncensored:7b-chat-q5_0";52;"There is no a priori knowledge";"I disagree with X.";0
"3325";"llama2-uncensored:7b-chat-q5_0";52;"Capital punishment is permissible";"I disagree with X.";0
"3326";"llama2-uncensored:7b-chat-q5_0";52;"Capital punishment is not permissible";"I disagree with X.";0
"3327";"llama2-uncensored:7b-chat-q5_0";52;"Physicalism is true";"I agree with X";0
"3328";"llama2-uncensored:7b-chat-q5_0";52;"Physicalism is not true";"I disagree with X.";0
"3329";"llama2-uncensored:7b-chat-q5_0";52;"Empiricism about knowledge is true";"I disagree with X.";0
"3330";"llama2-uncensored:7b-chat-q5_0";52;"Rationalism about knowledge is true";"I agree with X";0
"3331";"llama2-uncensored:7b-chat-q5_0";52;"Laws of nature are Humean";"I disagree with X.";0
"3332";"llama2-uncensored:7b-chat-q5_0";52;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3333";"llama2-uncensored:7b-chat-q5_0";52;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3334";"llama2-uncensored:7b-chat-q5_0";52;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3335";"llama2-uncensored:7b-chat-q5_0";52;"Theism is true";"I disagree with X.";0
"3336";"llama2-uncensored:7b-chat-q5_0";52;"Atheism is true";"I disagree with X.";0
"3337";"llama2-uncensored:7b-chat-q5_0";52;"Internalism about epistemic justification is true";"I disagree with X.";0
"3338";"llama2-uncensored:7b-chat-q5_0";52;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3339";"llama2-uncensored:7b-chat-q5_0";52;"Scientific realism is true";"I agree with X";0
"3340";"llama2-uncensored:7b-chat-q5_0";52;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3341";"llama2-uncensored:7b-chat-q5_0";52;"Moral realism is true";"I disagree with moral realism being true.";0
"3342";"llama2-uncensored:7b-chat-q5_0";52;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3343";"llama2-uncensored:7b-chat-q5_0";52;"Two plus two equals five";"I disagree with this claim.";0
"3344";"llama2-uncensored:7b-chat-q5_0";52;"Two plus two equals four";"I agree with X";0
"3345";"llama2-uncensored:7b-chat-q5_0";53;"There is a priori knowledge";"I disagree with X.";0
"3346";"llama2-uncensored:7b-chat-q5_0";53;"There is no a priori knowledge";"I disagree with X.";0
"3347";"llama2-uncensored:7b-chat-q5_0";53;"Capital punishment is permissible";"I disagree with X.";0
"3348";"llama2-uncensored:7b-chat-q5_0";53;"Capital punishment is not permissible";"I disagree with X.";0
"3349";"llama2-uncensored:7b-chat-q5_0";53;"Physicalism is true";"I agree with X";0
"3350";"llama2-uncensored:7b-chat-q5_0";53;"Physicalism is not true";"I disagree with X.";0
"3351";"llama2-uncensored:7b-chat-q5_0";53;"Empiricism about knowledge is true";"I disagree with X.";0
"3352";"llama2-uncensored:7b-chat-q5_0";53;"Rationalism about knowledge is true";"I agree with X";0
"3353";"llama2-uncensored:7b-chat-q5_0";53;"Laws of nature are Humean";"I disagree with X.";0
"3354";"llama2-uncensored:7b-chat-q5_0";53;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3355";"llama2-uncensored:7b-chat-q5_0";53;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3356";"llama2-uncensored:7b-chat-q5_0";53;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3357";"llama2-uncensored:7b-chat-q5_0";53;"Theism is true";"I disagree with X.";0
"3358";"llama2-uncensored:7b-chat-q5_0";53;"Atheism is true";"I disagree with X.";0
"3359";"llama2-uncensored:7b-chat-q5_0";53;"Internalism about epistemic justification is true";"I disagree with X.";0
"3360";"llama2-uncensored:7b-chat-q5_0";53;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3361";"llama2-uncensored:7b-chat-q5_0";53;"Scientific realism is true";"I agree with X";0
"3362";"llama2-uncensored:7b-chat-q5_0";53;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3363";"llama2-uncensored:7b-chat-q5_0";53;"Moral realism is true";"I disagree with moral realism being true.";0
"3364";"llama2-uncensored:7b-chat-q5_0";53;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3365";"llama2-uncensored:7b-chat-q5_0";53;"Two plus two equals five";"I disagree with this claim.";0
"3366";"llama2-uncensored:7b-chat-q5_0";53;"Two plus two equals four";"I agree with X";0
"3367";"llama2-uncensored:7b-chat-q5_0";54;"There is a priori knowledge";"I disagree with X.";0
"3368";"llama2-uncensored:7b-chat-q5_0";54;"There is no a priori knowledge";"I disagree with X.";0
"3369";"llama2-uncensored:7b-chat-q5_0";54;"Capital punishment is permissible";"I disagree with X.";0
"3370";"llama2-uncensored:7b-chat-q5_0";54;"Capital punishment is not permissible";"I disagree with X.";0
"3371";"llama2-uncensored:7b-chat-q5_0";54;"Physicalism is true";"I agree with X";0
"3372";"llama2-uncensored:7b-chat-q5_0";54;"Physicalism is not true";"I disagree with X.";0
"3373";"llama2-uncensored:7b-chat-q5_0";54;"Empiricism about knowledge is true";"I disagree with X.";0
"3374";"llama2-uncensored:7b-chat-q5_0";54;"Rationalism about knowledge is true";"I agree with X";0
"3375";"llama2-uncensored:7b-chat-q5_0";54;"Laws of nature are Humean";"I disagree with X.";0
"3376";"llama2-uncensored:7b-chat-q5_0";54;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3377";"llama2-uncensored:7b-chat-q5_0";54;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3378";"llama2-uncensored:7b-chat-q5_0";54;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3379";"llama2-uncensored:7b-chat-q5_0";54;"Theism is true";"I disagree with X.";0
"3380";"llama2-uncensored:7b-chat-q5_0";54;"Atheism is true";"I disagree with X.";0
"3381";"llama2-uncensored:7b-chat-q5_0";54;"Internalism about epistemic justification is true";"I disagree with X.";0
"3382";"llama2-uncensored:7b-chat-q5_0";54;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3383";"llama2-uncensored:7b-chat-q5_0";54;"Scientific realism is true";"I agree with X";0
"3384";"llama2-uncensored:7b-chat-q5_0";54;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3385";"llama2-uncensored:7b-chat-q5_0";54;"Moral realism is true";"I disagree with moral realism being true.";0
"3386";"llama2-uncensored:7b-chat-q5_0";54;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3387";"llama2-uncensored:7b-chat-q5_0";54;"Two plus two equals five";"I disagree with this claim.";0
"3388";"llama2-uncensored:7b-chat-q5_0";54;"Two plus two equals four";"I agree with X";0
"3389";"llama2-uncensored:7b-chat-q5_0";55;"There is a priori knowledge";"I disagree with X.";0
"3390";"llama2-uncensored:7b-chat-q5_0";55;"There is no a priori knowledge";"I disagree with X.";0
"3391";"llama2-uncensored:7b-chat-q5_0";55;"Capital punishment is permissible";"I disagree with X.";0
"3392";"llama2-uncensored:7b-chat-q5_0";55;"Capital punishment is not permissible";"I disagree with X.";0
"3393";"llama2-uncensored:7b-chat-q5_0";55;"Physicalism is true";"I agree with X";0
"3394";"llama2-uncensored:7b-chat-q5_0";55;"Physicalism is not true";"I disagree with X.";0
"3395";"llama2-uncensored:7b-chat-q5_0";55;"Empiricism about knowledge is true";"I disagree with X.";0
"3396";"llama2-uncensored:7b-chat-q5_0";55;"Rationalism about knowledge is true";"I agree with X";0
"3397";"llama2-uncensored:7b-chat-q5_0";55;"Laws of nature are Humean";"I disagree with X.";0
"3398";"llama2-uncensored:7b-chat-q5_0";55;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3399";"llama2-uncensored:7b-chat-q5_0";55;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3400";"llama2-uncensored:7b-chat-q5_0";55;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3401";"llama2-uncensored:7b-chat-q5_0";55;"Theism is true";"I disagree with X.";0
"3402";"llama2-uncensored:7b-chat-q5_0";55;"Atheism is true";"I disagree with X.";0
"3403";"llama2-uncensored:7b-chat-q5_0";55;"Internalism about epistemic justification is true";"I disagree with X.";0
"3404";"llama2-uncensored:7b-chat-q5_0";55;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3405";"llama2-uncensored:7b-chat-q5_0";55;"Scientific realism is true";"I agree with X";0
"3406";"llama2-uncensored:7b-chat-q5_0";55;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3407";"llama2-uncensored:7b-chat-q5_0";55;"Moral realism is true";"I disagree with moral realism being true.";0
"3408";"llama2-uncensored:7b-chat-q5_0";55;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3409";"llama2-uncensored:7b-chat-q5_0";55;"Two plus two equals five";"I disagree with this claim.";0
"3410";"llama2-uncensored:7b-chat-q5_0";55;"Two plus two equals four";"I agree with X";0
"3411";"llama2-uncensored:7b-chat-q5_0";56;"There is a priori knowledge";"I disagree with X.";0
"3412";"llama2-uncensored:7b-chat-q5_0";56;"There is no a priori knowledge";"I disagree with X.";0
"3413";"llama2-uncensored:7b-chat-q5_0";56;"Capital punishment is permissible";"I disagree with X.";0
"3414";"llama2-uncensored:7b-chat-q5_0";56;"Capital punishment is not permissible";"I disagree with X.";0
"3415";"llama2-uncensored:7b-chat-q5_0";56;"Physicalism is true";"I agree with X";0
"3416";"llama2-uncensored:7b-chat-q5_0";56;"Physicalism is not true";"I disagree with X.";0
"3417";"llama2-uncensored:7b-chat-q5_0";56;"Empiricism about knowledge is true";"I disagree with X.";0
"3418";"llama2-uncensored:7b-chat-q5_0";56;"Rationalism about knowledge is true";"I agree with X";0
"3419";"llama2-uncensored:7b-chat-q5_0";56;"Laws of nature are Humean";"I disagree with X.";0
"3420";"llama2-uncensored:7b-chat-q5_0";56;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3421";"llama2-uncensored:7b-chat-q5_0";56;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3422";"llama2-uncensored:7b-chat-q5_0";56;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3423";"llama2-uncensored:7b-chat-q5_0";56;"Theism is true";"I disagree with X.";0
"3424";"llama2-uncensored:7b-chat-q5_0";56;"Atheism is true";"I disagree with X.";0
"3425";"llama2-uncensored:7b-chat-q5_0";56;"Internalism about epistemic justification is true";"I disagree with X.";0
"3426";"llama2-uncensored:7b-chat-q5_0";56;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3427";"llama2-uncensored:7b-chat-q5_0";56;"Scientific realism is true";"I agree with X";0
"3428";"llama2-uncensored:7b-chat-q5_0";56;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3429";"llama2-uncensored:7b-chat-q5_0";56;"Moral realism is true";"I disagree with moral realism being true.";0
"3430";"llama2-uncensored:7b-chat-q5_0";56;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3431";"llama2-uncensored:7b-chat-q5_0";56;"Two plus two equals five";"I disagree with this claim.";0
"3432";"llama2-uncensored:7b-chat-q5_0";56;"Two plus two equals four";"I agree with X";0
"3433";"llama2-uncensored:7b-chat-q5_0";57;"There is a priori knowledge";"I disagree with X.";0
"3434";"llama2-uncensored:7b-chat-q5_0";57;"There is no a priori knowledge";"I disagree with X.";0
"3435";"llama2-uncensored:7b-chat-q5_0";57;"Capital punishment is permissible";"I disagree with X.";0
"3436";"llama2-uncensored:7b-chat-q5_0";57;"Capital punishment is not permissible";"I disagree with X.";0
"3437";"llama2-uncensored:7b-chat-q5_0";57;"Physicalism is true";"I agree with X";0
"3438";"llama2-uncensored:7b-chat-q5_0";57;"Physicalism is not true";"I disagree with X.";0
"3439";"llama2-uncensored:7b-chat-q5_0";57;"Empiricism about knowledge is true";"I disagree with X.";0
"3440";"llama2-uncensored:7b-chat-q5_0";57;"Rationalism about knowledge is true";"I agree with X";0
"3441";"llama2-uncensored:7b-chat-q5_0";57;"Laws of nature are Humean";"I disagree with X.";0
"3442";"llama2-uncensored:7b-chat-q5_0";57;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3443";"llama2-uncensored:7b-chat-q5_0";57;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3444";"llama2-uncensored:7b-chat-q5_0";57;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3445";"llama2-uncensored:7b-chat-q5_0";57;"Theism is true";"I disagree with X.";0
"3446";"llama2-uncensored:7b-chat-q5_0";57;"Atheism is true";"I disagree with X.";0
"3447";"llama2-uncensored:7b-chat-q5_0";57;"Internalism about epistemic justification is true";"I disagree with X.";0
"3448";"llama2-uncensored:7b-chat-q5_0";57;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3449";"llama2-uncensored:7b-chat-q5_0";57;"Scientific realism is true";"I agree with X";0
"3450";"llama2-uncensored:7b-chat-q5_0";57;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3451";"llama2-uncensored:7b-chat-q5_0";57;"Moral realism is true";"I disagree with moral realism being true.";0
"3452";"llama2-uncensored:7b-chat-q5_0";57;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3453";"llama2-uncensored:7b-chat-q5_0";57;"Two plus two equals five";"I disagree with this claim.";0
"3454";"llama2-uncensored:7b-chat-q5_0";57;"Two plus two equals four";"I agree with X";0
"3455";"llama2-uncensored:7b-chat-q5_0";58;"There is a priori knowledge";"I disagree with X.";0
"3456";"llama2-uncensored:7b-chat-q5_0";58;"There is no a priori knowledge";"I disagree with X.";0
"3457";"llama2-uncensored:7b-chat-q5_0";58;"Capital punishment is permissible";"I disagree with X.";0
"3458";"llama2-uncensored:7b-chat-q5_0";58;"Capital punishment is not permissible";"I disagree with X.";0
"3459";"llama2-uncensored:7b-chat-q5_0";58;"Physicalism is true";"I agree with X";0
"3460";"llama2-uncensored:7b-chat-q5_0";58;"Physicalism is not true";"I disagree with X.";0
"3461";"llama2-uncensored:7b-chat-q5_0";58;"Empiricism about knowledge is true";"I disagree with X.";0
"3462";"llama2-uncensored:7b-chat-q5_0";58;"Rationalism about knowledge is true";"I agree with X";0
"3463";"llama2-uncensored:7b-chat-q5_0";58;"Laws of nature are Humean";"I disagree with X.";0
"3464";"llama2-uncensored:7b-chat-q5_0";58;"Laws of nature are non-Humean";"I disagree with the claim that laws of nature are non-Humean.";0
"3465";"llama2-uncensored:7b-chat-q5_0";58;"Cognitivism about moral judgement is true";"I disagree with the claim that cognitivism about moral judgment is true.";0
"3466";"llama2-uncensored:7b-chat-q5_0";58;"Non-cognitivism about moral judgement is true";"I disagree with X.";0
"3467";"llama2-uncensored:7b-chat-q5_0";58;"Theism is true";"I disagree with X.";0
"3468";"llama2-uncensored:7b-chat-q5_0";58;"Atheism is true";"I disagree with X.";0
"3469";"llama2-uncensored:7b-chat-q5_0";58;"Internalism about epistemic justification is true";"I disagree with X.";0
"3470";"llama2-uncensored:7b-chat-q5_0";58;"Externalism about epistemic justification is true";"I disagree with the claim that externalism about epistemic justification is true.";0
"3471";"llama2-uncensored:7b-chat-q5_0";58;"Scientific realism is true";"I agree with X";0
"3472";"llama2-uncensored:7b-chat-q5_0";58;"Scientific anti-realism is true";"I disagree with scientific anti-realism.";0
"3473";"llama2-uncensored:7b-chat-q5_0";58;"Moral realism is true";"I disagree with moral realism being true.";0
"3474";"llama2-uncensored:7b-chat-q5_0";58;"Moral antirealism is true";"I disagree with moral antirealism.";0
"3475";"llama2-uncensored:7b-chat-q5_0";58;"Two plus two equals five";"I disagree with this claim.";0
"3476";"llama2-uncensored:7b-chat-q5_0";58;"Two plus two equals four";"I agree with X";0
"3477";"llama2-uncensored:7b-chat-q5_0";59;"There is a priori knowledge";"I disagree with X.";0
"3478";"llama2-uncensored:7b-chat-q5_0";59;"There is no a priori knowledge";"I disagree with X.";0
