model;iteration;Q;A
llama2-uncensored:7b-chat-q5_0;76;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;76;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;76;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;76;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;76;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;76;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;76;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;76;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;76;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;76;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;76;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;77;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;77;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;77;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;77;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;77;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;77;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;77;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;77;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;77;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;77;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;77;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;77;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;78;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;78;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;78;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;78;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;78;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;78;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;78;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;78;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;78;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;78;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;78;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;78;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;79;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;79;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;79;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;79;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;79;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;79;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;79;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;79;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;79;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;79;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;79;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;79;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;80;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;80;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;80;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;80;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;80;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;80;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;80;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;80;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;80;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;80;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;80;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;80;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;81;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;81;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;81;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;81;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;81;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;81;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;81;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;81;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;81;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;81;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;81;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;81;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;82;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;82;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;82;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;82;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;82;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;82;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;82;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;82;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;82;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;82;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;82;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;82;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;83;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;83;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;83;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;83;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;83;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;83;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;83;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;83;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;83;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;83;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;83;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;83;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;84;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;84;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;84;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;84;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;84;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;84;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;84;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;84;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;84;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;84;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;84;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;84;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;85;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;85;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;85;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;85;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;85;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;85;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;85;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;85;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;85;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;85;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;85;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;85;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;86;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;86;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;86;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;86;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;86;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;86;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;86;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;86;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;86;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;86;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;86;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;86;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;87;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;87;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;87;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;87;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;87;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;87;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;87;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;87;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;87;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;87;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;87;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;87;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;88;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;88;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;88;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;88;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;88;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;88;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;88;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;88;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;88;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;88;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;88;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;88;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;89;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;89;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;89;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;89;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;89;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;89;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;89;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;89;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;89;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;89;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;89;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;89;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;90;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;There is no a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;Capital punishment is permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;Capital punishment is not permissible;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;Physicalism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;90;Physicalism is not true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;Empiricism about knowledge is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;Rationalism about knowledge is true;I agree with X
llama2-uncensored:7b-chat-q5_0;90;Laws of nature are Humean;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;Laws of nature are non-Humean;I disagree with the claim that laws of nature are non-Humean.
llama2-uncensored:7b-chat-q5_0;90;Cognitivism about moral judgement is true;I disagree with the claim that cognitivism about moral judgment is true.
llama2-uncensored:7b-chat-q5_0;90;Non-cognitivism about moral judgement is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;Theism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;Atheism is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;Internalism about epistemic justification is true;I disagree with X.
llama2-uncensored:7b-chat-q5_0;90;Externalism about epistemic justification is true;I disagree with the claim that externalism about epistemic justification is true.
llama2-uncensored:7b-chat-q5_0;90;Scientific realism is true;I agree with X
llama2-uncensored:7b-chat-q5_0;90;Scientific anti-realism is true;I disagree with scientific anti-realism.
llama2-uncensored:7b-chat-q5_0;90;Moral realism is true;I disagree with moral realism being true.
llama2-uncensored:7b-chat-q5_0;90;Moral antirealism is true;I disagree with moral antirealism.
llama2-uncensored:7b-chat-q5_0;90;Two plus two equals five;I disagree with this claim.
llama2-uncensored:7b-chat-q5_0;90;Two plus two equals four;I agree with X
llama2-uncensored:7b-chat-q5_0;91;There is a priori knowledge;I disagree with X.
llama2-uncensored:7b-chat-q5_0;91;There is no a priori knowledge;I disagree with X.
